丫	Daemon	Yaya
大被同眠	Big sleep	The Great Sleep
大婆	Big mother -in -law	Grandma
大嘥	Lofty	Big Waster
大晒	Exposure	Da-sun
大嘥鬼	Big ghost	Big Waster
大殺三方	Big killing three parties	Big Kill Tripartite
大使	ambassador	ambassador
大細	Large	Large fine
大細超	Superimpatient	Super fine
大細路	Big road	Large fine road
大手筆	Big	Large Hand Pen
大石砸死蟹	Big stone smashed crab	Dashi Stoned Crab
大聲	Loud	Loud
大聲嗌	Loud	Loud
大聲夾冇準	Make a loud accurate	Loud Clip
大聲夾惡	Loudly	Loud Clip Evil
大聲公	Loud	Loud
大聲佬	Big guy	Loud
大聲婆	Loud mother -in -law	Big voice mother-in-law
帶水	Water	With water
大水喉	Pyracine	Large Water Pipes
帶水佬	Water guy	Bringing Water Guy
大信封	Envelope	Large Envelope
大蛇屙屎	Big snake shit	Big snake feces
大市	Large market	Big City
大食	Big food	Great food
大食有旨意	Big food has your will	Big food has a purpose
大食懶	Lazy	Big Food Lazy
大食佬	Gangster	Big Eater
大食細	Big food	Large Food
大食會	Food club	Food Party
大少	Big	Big little
大笑姑婆	Laughed	Laughing Auntie
大少奶	Big milk	Big Little Tits
大小通吃	Topping	Eat-all in size
大嫂	Big sister -in -law	Sister-in-law
大餸	Lofty	Large food
大頭茶	Big tea	Big Head Tea
大頭佛	Big head Buddha	Big Head Buddha
大頭狗	Big dog	Big head dog
大頭鬼	Big ghost	Big Head Ghost
大頭蝦	Jacurse	Big Head Prawn
大頭魚	Big fish	Big head fish
大頭綠衣	Big head green clothes	Big Head Green
大天二	Datian II	Big day two
大條道理	Goblin	Big Way
大堂	Lobby	Lobby
大湯碗	Soup bowl	Large soup bowl
歹徒	Gangster	Gangster
戴套	Put on a sleeve	Wearing a Condom
大肚	Belly	Big belly
大肚嘅	Belly	Big belly
大肚腩	Big belly	Big Belly
大肚婆	Belly	Big Belly
大肚衫	Big belly shirt	Big belly shirt
大話	Big words	Big Talk
大話夾好彩	Great words	Big clip good color
大話鬼	Ghost	Big Ghost
大話友	Big friend	Big Friends
大話王	King	King of the Great
大話精	Ejaculation	Big Word Fine
大鑊	Lofty	Wok
大鑊飯	Meal	Wok Rice
大戶	Big household	Ooto
大換血	Great blood change	Great Blood Exchange
大閘蟹	Hairy crab	Hairy Crab
大劑	Big doses	Large Agent
大仔	Big	Tai Chai
大掣	Switch	Large switch
大陣仗	Great battle	Big battle
大姐大	Big sister	Big Sister
大隻	big	Large
大隻講	Great talk	Big Talk
大隻騾騾	Big Suki	Large Mule
大隻佬	Big guy	Big Cao
大姐仔	Big Sister	Big Sister
帶子	tape	Strap
大姊	Big sister	Big Sister
大紙	Large paper	Large Paper
大字	Big word	Large characters
大字簿	Big book	Large character book
帶子刺身	Sashimi	Sashimi with ribbon
大紫荊勳章	Bauhinia Medal	Grand Bauhinia Medal
大枝嘢	Big branches	Taegi Yeah
大蕉	Big banana	Plantain
大狀	Large -scale	Large-shaped
大狀師	Big division	Great shape
大咗肚嘅	Stomach	Big belly
大早	Early	Early Morning
大種乞兒	Big species begging	Big breed beggar
打因住波	Destiny	Hit inlive wave
打友誼波	Battle Friendship	Hit Friendship Wave
打野戰	Jungle	Wild War
打ᄯ	Puppet	Beating
打魚蛋	Fishing egg	Beat Fish Balls
打完齋就唔要和尚	After the fasting, you do n’t ask for a monk	Do not have a monk after fasting
打咭	Bend	punch card
打咭鐘	Bell	Card Clock
打茄輪	茄	Playing Eggplant Wheels
打Ⲉ	Puppet	Beating
打๭文	Script	Ta Wen
打困籠	Be in a cage	Trapped Cage
打藍磨	Bend a blue mill	Polishing Blue
打爛	Boring	smashed
打爛飯碗	Stun rice bowl	Beat the rice bowl
打唥	Bend	Beating
打冷	Be cold	Beating cold
打冷震	Cold shock	Hit the cold shock
打爛砂盆問到篤	Broken the sand pot and ask the dumplings	Beat the sand basin asked to tuk
打甩	Dump	Dandalous
打理	Take care of	Care
打領瘹	Puppet 瘹	Collar Collar
打鱗㘉膽	Scaled	Scaly bladder
咑令	咑 咑	Derby
打纈	Bend	Valerian
打鑼都搵唔到	It's all gongs	Gong are not found
打鑼噉搵	Gongli	Gong
擔	Bear	Burden
眈	gaze intently	eyeing
耽	delay	delay
頕	Bleak	
膽	Bold	gallbladder
擔	Bear	Burden
啖	taste	Taste
淡	light	Light
啗	taste	
打孖	Bend	Double
打๺	Puppet	Beating
打๺身波	๺ ๺ ๺ ๺	Hit the Body Wave
打孖嚟	Fight	Play!
打盲毛	Blind hair	Hit Blind Hair
打盲毛黨	Blind Mao	Fight Blind Hair Party
打盲毛劫案	Blind -haired robbery case	Blind Hair Robbery
打孖上	Be on	Play on the margin
打茅波	Puppet	Kayabao wave
打麻雀	Sparrow	Playing Sparrow
打麻雀仔	Playing a sparrow	Sparrow
膽粗粗	Bile	Coarser
擔大旗	Banner Banner	Bear the flag
啖啖肉	Cricket	Meat
淡定	Calm	calm
打唔到	Be	Can't hit
啖飯	Meal	Eating rice
擔竿	Bare pole	Stretcher Rod
擔綱	Take the lead	Outline
擔高頭	High head	High head
打霧水	Foggy water	Fog water
打冇頭跟斗	Fight	Beating No Head
膽生毛	Bile	Gall hair
膽生石	Gallstone	Gallbladder stone
擔屎都唔偷食	Dadie shit, stealing food	Do not steal food
膽色	Bile	Bold
擔梯	Ladder	Ladder
眈天望地	Look at	eyeing
擔挑	Take up	Tantan Pick
丹	Pour	Dan
單	one	Single
誕	birth	Christmas
旦	dawn	Dan
但	but	But
彈	bomb	Bomb
疍	Bleak	
蛋	Egg	Egg
彈	bomb	Bomb
蛋	Egg	Egg
單咇	Single -handed	Single
蛋茶	Egg tea	Egg tea
單親家庭	one-parent family	Single parent family
單層巴士	Single -layer bus	Single-decker bus
單車	bicycle	Cycling
單車泵	Bicycle pump	Bicycle pump
單車機	Bicycle	Bicycle machine
單車徑	Cycling diameter	Bike Trail
單車友	Bicycle	Bike Friends
單車騎士	Bicycle knight	Cyclist
單車轆	Cycling	Bicycle Wheel
單車泊車場	Bicycle parking lot	Bicycle Parking
單車手	Bicycle	cyker
單車停泊處	Bicycle mooring	Bicycle Parking
單程證	One -way card	One-way Pass
單打	singles	singles
蛋蛋	Egg	Egg Egg
單單打打	Fight alone	Singles
單丁	Single	Mono-chong
單吊西	Single hanging west	Single hanging west
單刀	Single -knife	Single Knife
疍家	Family	Pian family
打牙骹	Teeth	Teething
疍家佬	疍 疍 疍 疍	Mulao
疍家婆	疍 疍 婆 疍	Grandma
打牙祭	Dental sacrifice	Tooth Festival
疍家仔	疍 疍 疍 疍	YKa Tsai
DOWNLOAD	Download	DOWNLOAD
打我飛機	Hit me	Hit Me Plane
打仰瞓	Raised 瞓 瞓 瞓	Playing Yang-Con
打我尖	Hit me	Hit Me Tip
彈弓	slingshot	Slingshot
彈弓床	Slingshot bed	Slingshot Bed
單係	Single	Single system
但係	but	But
單行	Unilateral	Single line
單行簿	One -line book	Single Row Book
單行紙	Single -line paper	Single Line Paper
打尿震	Urine shock	Urine shock
單人梳化	Single -person combing	Single Sofa
單企人	Single company	Single enterprise
單面膠紙	Single -sided rubber paper	Single Side Tape
單眼	Monochrome	Monocular
單眼佬	Single -eyed	Monocular
單眼佬睇榜	Single -eyed	Monocular
單眼佬睇老婆	Single -eyed wife	One-eyed man watching his wife
單眼仔	Single -eyed	Monocular
單眼仔睇老婆	Single -eyed wife	One-eyed wife
蛋牛治	蛋 牛 牛	Egg and Beef
單拼三文治	Single Shanwenzhi	Single Sandwich
彈票	Bouncing ticket	Bouncing tickets
彈票費	Bouncing fee	Ammo Fee
蛋沙律三文治	Egg Salad Sandworm	Egg Salad Sandwich
蛋沙律治	Egg Sand	Egg Salad
蛋饊	饊 饊 饊	Egg whites
單身寡佬	Single widow	Single Widow
單身寡仔	Single widow	Single Widow
單身貴族	Single nobleman	Single Aristocrat
單聲	Single sound	Mono
蛋撻	egg tart	Egg Tart
蛋撻頭	Tart	Egg Tart
單T	Single T	Single T
單幢樓	Single building	Single Building
打ల	Puppet	Beating
打ల	Puppet	Beating
嗒	despair	Ta
搭	take	Ride
答	answer	Answer
䂿	Bleak	
沓	again and again	Kutsu
疊	Stack	stack
踏	tread	stepping
打牌	play cards	Playing Cards
搭巴士	Take bus	By bus
搭霸王車	Overlord	Ride the Overlord
搭霸王的士	Tyrannos	Take the King Taxi
搭膊	Put on	Shoulder
搭錯線	Line	Wrong Line
踏單車	Bicycle	Cycling
嗒嗒聲	Hits	Clatter
搭地鐵	Subway	By Subway
搭的士	Scholar	Take a taxi
搭電車	Tram	By Train
打皮	Fascinating	Peeling
打ൿ牌	Play	Playing cards
搭客	passenger	Passenger
叠友	Stack	Diap-Youyou
搭苢	Take up	Ride
疊碼	Coding	Stacked code
疊馬	Stack	Stacks Horse
疊碼仔	叠 叠 码 仔 码	Stack code
踏唔切	Cut off	Step or Not Cut
搭唔到	Get up	Not to take
搭棚	Shed	Scaffolding
搭棚架	Scaffold	Scaffolding
搭棚工程	Shed	Scaffolding
搭棚工人	Shed worker	Scaffolding Worker
搭棚佬	Shed	Scaffolding
搭手	Handle	Take Hands
疊水	Stacking water	Stacking water
搭小巴	Minibus	By minibus
踏雪屐	Steak	Snowshoe
搭枱	Set up a platform	Table
搭通天地線	Tongtianli	Connect to the Tenchi Line
沓正	Righteous	Masa Kutsu
搭豬頭骨	Pork skull	Take a Pig Skull
打生打死	Kill	Kill Life
打生纈	Hitting 缬 缬 缬	Valerian
打散工	Scatter	Drop Worker
打西人工	Artificial artificial	Hit West Artificial
打手指模	Finger	Finger Mould
打蛇	Snake	Beat the snake
打蛇餅	Snake	Beat Snake Cake
打瀉茶	Diarrhea	Laxative Tea
打蛇隨棍上	Fight on the snake	Snakes on stick
打死不離親兄弟	Do not leave your brothers	Killed not to leave the brothers
打死多過病死	Death to death	Kills More than Sick
打死火燈	Kill fire lamp	Fire Light
打死狗講價	Kill the dog with a bargain	Kill Dog Offer
打死纈	Kill 缬	Kill Valerian
打醒十二分精神	Wake up twelve points of spirit	Wake up the Twelfth Spirit
打醒精神	Wake up	Wake up the Spirit
打稅	Tax	Taxes
打水片	Water	Water Slice
打水撇	Water	Water skimmer
打屎框	Shit	Shit
打思ᄯ	I think about	Thinking
打私人工	Privateman	Hit Private Worker
打思ᄯ	I think about	Thinking
打骰	Dice	Dice
打士碌㗎	Kaishi	Tas Roc
打星	Star	Hit the Stars
打小人	Villain hitting	Hit the villain
打賞	Reward	Tout Rewards
打書釘	Nail	Staples
打暑期工	Summer worker	Hit Summer Job
打輸數	Count	Number of Inputs
撻	Tart	Tart
笪	Bleak	
躂	Bleak	Tap
ⴈ	Bleak	
噠	clatter	clatter
噠	clatter	clatter
達	Reach	Tat
打瘹	Bend	Beating
打頭陣	Head	Beforehead Array
撻出嚟	Tart	Tart Out
噠噠聲	Daemon	Clatter
躂低	Downturn	Tap Low
撻朵	Tart	Tart
打剔	Bend	Tick
打鐵佬	Iron guy	Hit the Iron Man
撻落地	Tart	Tart landing
打枱波	Towering wave	Table wave
撻生魚	Tart	Tart for raw fish
撻生魚咁撻	Tart raw fish	Tart Raw Fish Tart
打通廳	Open hall	Get through the hall
打同通	Unblock	Hit the same
打壞	Be destroyed	Beat Bad
打橫	Bidding	Tasyoko
打橫嚟	Bullish	Hit the cross
打和	Fight	hit and
打鑊甘	Be sweet	Wok Gan
打鑊堅	Fight against each other	Wok stick
打皇家工	Royal worker	Hit The Royal Job
打回頭	Turn back	Hit Back
打齋	Fascinating	Fasting
打摺	Discount	Discount
打仔	Fight	Ta Tsai
打仔明星	Star	DANJI STAR
打側	Side	Hit the side
打側瞓	Bend the side 瞓	Side-beating
打針雞	Injection chicken	Stitched Chicken
打震	Shock	Shock
打真軍	Troops	Hit the Real Army
打J	Jar	Hit J
打尖	Spike	Spikes
打指模	Fingerprint	Fingerprint
打政府工	Government worker	Hating government workers
打雀	Beeping	Sparrow
打雀噉眼	Beeping	Sparrow
打雀局	Bureau	Sparrow Bureau
打朘朘	Bend	Beating
打種	Sow	Species
打住家工	Resident	Stop the home worker.
低	Low	Low
底	end	Bottom
抵	Discharge	Arrival
帝	emperor	Emperor
渧	Bleak	
蒂	Heaven	Ti
諦	meaning	TRUTH
弟	younger brother	Brother
第	First	Article
遞	Hand over	Delivery
第	First	Article
低B	Low B	Low B
低B仔	Low B	Low B
低波	Low wave	Low Wave
低波行車	Low -wave driving	Low-wave driving
抵錢	Money	Money Arrival
抵打	Fight against	Arrival
底底	Bottom	Bottom Bottom
抵得	Be able to	RMed
抵得諗	Be able to	Arrive
第啲	First	Part 1
第啲人	啲	PARTNI
第度	At the same time	The first degree
抵到爛	Rotten	Arrived to rotten
底衭	Bottom 底	Baseback
底價	Base price	Reserve Price
第九	ninth	Ninth
第個人	First -person	The first person
抵過買	Offer	Offset to buy
弟兄姊妹	Brothers and sisters	Brothers and Sisters
低胸衫	Low -cut shirt	Low cut shirt
第日	Day	Day
第日見	See	See you on the day
第一時間	first timing	First Time
第日先啦	The first day first	First day.
第日再傾	Tour again on the first day	Day reclining
第二	second	Second
第二啲	Second	Second
第二啲人	Second	The second person
第二度	Second	Second degree
第二日	The second day	Day 2
抵用	Use	offset
低企	Low -agent	Low enterprise
底裙	Bottom skirt	Bottom skirt
抵冷貪瀟湘	Cold and greedy Xiaoxiang	Cold greedy Xiaoxiang
第屘	屘 屘 屘	Article
抵諗	Dismiss	offset
低能仔	Low energy	Low energy Aberdeen
底牌	Card	hole cards
底衫	Bottom Shirt	Base layer
底衫底衭	Bottom bottom 底	Base layer
底衫衭	Bottom shirt	Base layer
底薪	Base salary	Base Salary
抵死	Die to death	Resist
抵ჶ	Tadpole	offset
低水	Low water	Low water
第時	At the time	Time
抵食	Discern	Food
弟嫂	Brother -in -law	Sister-in-law
低頭族	Head	The bow
抵肚餓	Be hungry	Hungry
底橫	Bottom	Bottom horizontal
低威	Mighty	Low Wei
低位	Low position	Low
低莊	Downturn	Low Zhuang
得	have to	Get
德	Virtue	De
特	special	special
得把口	Get a mouthful	I have to put the mouth
得把聲	Loud	I have to put the sound.
得戚	Obtain	Tak Chik
得啖笑	Laugh	A Taste of Laughter
特登	Special	Tenden
得番	Get	Get Fan
得番個吉	Genji	Get a good
得㗎喇	Disno La La	De Ra
得哥	Brothers	Ted
得個吉	Get a good luck	Get a good
得個講字	Words	Get a word.
得個樣	Be	Get a sample.
得個靚字	Get a pretty word	Got a pretty word.
得個睇字	Get a word	Get a word.
得個X字	Get an X character	Get an X word.
得個知字	Know	Get a word.
得果少少	Fruit	Fewer results
得閒	Be free	Have to be idle
得人驚	Shocked	Amazing
得意	proud	Be a connored
得佢一個咋	Do you know	Get him a gai.
得米	Rice	Demi
得唔得?	Do you get it?	Wretto?
得未啊?	Did you get it?	Did you get it?
得N.咋	N. 咋	N. ye
得失人	Be lost	Loss and gain
特首	Chief executive	Chief Executive
特委裁判官	Special Commission's Magistrates	Special Magistrates
得滯	Stagnate	Stagnation
得直	Straightforward	Get straight
得主	Winner	The won
DOM	Dom	DOM
䏙	Bleak	
揼	Bleak	
耽	delay	delay
躭	Bleak	
抌	Bleak	
沊	Bleak	
髧	Bleak	
悥	Bleak	
ు	Bleak	
䂿	Bleak	
泵	Pump	PUMP
肽	Peptide	
抌本	Scheme	Motomoto
躭長	Long -sized	Long
躭長時候	A long time	Long time
躭躭測	躭 躭 躭 躭 躭	quizzes
ుు჈	ుు ుు ుు	
ుు轉	Shift	Transfer
肽地	Peptide	Gland
肽地仔	Peptide	Kat Tei Tsai
泵雞友	Pumping chicken friends	Pump Chicken Friends
肽腳	Peptide foot	Barefoot
抌骨	Bone	Skulls
抌開	Open up	Open
抌印	Seal	imprint
沊一聲	Sip	A whisper
抌落地	Go down	Falling
悥落地	Go down	Falling
抌落街	抌 抌 抌	Yau Lok Street
悥落嚟	悥 嚟 嚟	Fallen
抌心口	Cricket	guinxin kou
躭時間	Timely	Time
躭時候	Time	Timing
肽蹄肽爪	Peptide hoof claw	Horseshoe Claw
躭住人	Dwarf	Abinhabiant
墩	Pier	Piers
蹾	Bleak	
趸	wholesale	
躉	wholesale	Barges
㎴	Bleak	
扽	Bleak	
撴	Bleak	
沌	Chaotic	chaotic
炖	stew	Stew
燉	stew	Stew
炖品	Stew	Stew
炖冬菇	Stew	Stewed Chinese Mushrooms
燈	lamp	Light
登	Obey	Den
等	wait	Etc.
凳	stool	Stool
櫈	stool	Stool
噔	Bleak	
戥	Bleak	arbitrage
鄧	Deng	Deng
戥	Bleak	arbitrage
戥穿石	Piercing stone	Piercing Stones
燈膽	Gall	Lamp
登對	Go to	Climb
等到頸都長	Wait until the neck is long	Wait until the neck is long
等到V.1之後先至V.2	After V.1, first reach V.2	Wait until V.1 and then go to V.2
登機閘口	Boarding gate	Boarding gate
戥腳	Feet	Arbitrage
戥興	Be in the good fortune	Arbitrage
噔人唔抵	噔 抵 抵	No people
等一陣	Wait for a while	Wait for a while.
燈油火蠟	Lamp oil fire wax	Lamp oil fire wax燈籠椒	Bell Pepper	Bell pepper
噔你唔抵	噔 抵 抵	You don't arrive
戥頭	Tadpole	Arbitrage
燈掣	Lamp	Light Switch
櫈仔	Stool	Stool
等陣	Equal	Isometric array
燈着咗	Lamp	Lights up.
撴氣	Sorcery	Air
躉船	Barge	Barge
㗳	Bleak	
耷	Bleak	
旧	old	
䂿	Bleak	
撘	Bleak	
溚	Bleak	
	Bleak	
ೖ	Bleak	
ⱕ	bleak	
耷迫力	Force	Forced force
ⱕ邪骨	ⱕ ⱕ ⱕ	Bones
耷低頭	耷 耷 耷 耷	Head down
ⱕ骨	bone	Skulls
ⱕ骨場	bone	Skulls field
ⱕ骨妹	ⱕ ⱕ 骨 ⱕ	Sisterhood
ⱕ骨女	bone girl	Skulls
ⱕ骨按摩	ⱕ bone massage	Skulls Massage
ⱕ骨仔	ⱕ ⱕ 骨 骨	Skulls
ೖ一聲	Sip	A whisper
耷唔切	耷 耷 耷	Wiche cut
耷唔到	耷 耷 耷	Not to
溚濕	Wet	Humidity
溚濕衫	Wet shirt	Wet shirt
溚濕身	Wet body	Wet body
耷頭耷腦	耷 耷 耷 耷	
耷頭佬	耷 耷 耷	Mulao
ⱕ正骨	骨 骨 骨	Osteopathic bone
凸	Convex	Convex
腯	fat of pigs	
ూ	Bleak	
凸	Convex	Convex
突	sudden	Sudden
兜	pocket	pocket
篼	Bleak	
蔸	Bleak	
斗	fight	Bucket
抖	shake	Shake
鬥	fight	bucket
鬦	Bleak	
鬬	Bleak	
⭃	Bleak	
哣	Bleak	
痘	smallpox	Pox
竇	sinus	sinus
荳	bean	Peas
豆	bean	beans
逗	tease	tease
⭃	Bleak	
豆	bean	beans
竇	sinus	sinus
豆	bean	beans
兜巴星	Daba Xing	Stomba Star
鬥大力	Fight hard	Fighting vigour
豆豆	Tofu	Peas
豆丁	Bean	Bean curd
兜篤將軍	General Duku	Pocket Tuk General
鬥快	Fight fast	FIGHT FAST
兜番住	Daemon	Kabuto live
豆粉	Bean flour	Soybean flour
豆腐花	Tofu	Tofu Pudding
豆腐乾	Dried tofu	Dried Tofu
鬥負氣	Bucket	Bucket negative gas
豆腐潤	Tofu	Tofu Run
豆腐膶	Tofu 膶	Tofu Pudding
豆腐潤咁細	Tofu	Tofu is so fine
豆腐膶咁細	Tofu 咁 膶 膶 膶 膶	Tofu moulding is so fine
豆腐婆	Tofu	Tofu Po
豆腐梊	Tofu 梊	Tofu Pudding
鬥雞眼	Chicky	Cocktails
豆角	Bean horns	Carob
竇口	Sinus	Dou mouth
兜口兜面	Pocket	Pocket
豆潤	Bean	Bean Run
豆潤咁細	Dourun	Bean moist so fine
豆膶咁細	Douya is fine	Beanie so fine
兜嚟兜去	Go up and go	Take a Ride
⭃利是	⭃ ⭃ ⭃	YES
斗零	Zero	Bucket Zero
斗令	Fight	Order of Douo
兜路	Lane	DROUWAY
兜踎	Puppet	Dull
抖木	Shake	trembling wood
抖木佬	Shake	Wooden Trembling
抖木師傅	Master	Shaking Wood Master
豆泥	Bean	Bean paste
豆泥餐廳	Bean dining restaurant	Bean Paste Restaurant
豆泥貨	Beans	Bean paste goods
豆泥嘢	Bean puree	Mashed Bean
豆皮	Bean skin	Bean curd
豆皮佬	Bean leather	Pekie
豆皮妹	Bean skin girl	Bean skin sister
豆皮婆	Douyipo	Bean curd
豆皮仔	Douchi	Bean curd
豆梊	Tofu	Beanie
豆沙喉	Bean paste throat	Bean Paste Throat
豆豉鯪魚	Turlon	Dace with Black Bean
鬥窒	Suffocate	Fight Choke
鬥蟀	Fight	Fighting cricket
鬥蟀賭檔	Douye gambling file	Cricket betting files
嗲	Be embarrassed	whine
爹	father	Papa
嗲	Be embarrassed	whine
嗲	Be embarrassed	whine
嗲嗲渧	渧 渧 渧	Satay Satay
嗲嗲吊	Blew up	whine hanging
嗲嗲聲	Loud	Whine sound
爹哋	Dad	daddy
嗲吊	Bun	whine hanging
哋	Do not	We
哋	Do not	We
哋	Do not	We
地	land	Land
地	land	Land
地產代理行	Real Estate Agent Bank	Estate Agency
地膽	Boldness	Gobiliary
地庫	Basement	Bases
地庫商場	Mall	Baseground Mall
地腳	Ground feet	Ground foot
地下	underground	Underground
地下情	affair	Underground Love
地下麻雀館	Underground sparrow	G/F Mahjong House
地下竹館	Underground bamboo museum	Bamboo House
地氣	Generosity	Land Gas
地區直選	Regional direct election	District Direct Election
地厘蛇果	Snake fruit	Dietrin Snake Fruit
地牢	Dungeon	Dungeon
地牢商場	Dungeon mall	Dungeon Arcade
地牛鎖	Bull lock	Earth Bull Lock
地皮	Land	Land
地舖	Ground	Ground Shop
地盤	Site	Land
地盤科文	Science	Site science and culture
地盤佬	Ground	Platyboy
地盤文員	Site clerk	Site Clerk
地上執到寶	Perseverance on the ground	On the ground to the treasure
地頭	Ground	Ground Head
地頭蟲	Groundworm	Ground worm
地鐵	subway	Subway
地拖	Mops	Floor Mop
地圖脷	Map 脷	Map of Tongi
地氈	carpet	Rugs
地租	Land rent	Government rent
糴	Bleak	
趯	jump	
笛	flute	Flute
趯更	More than	Changelin
趯路	Lane	Kino Road
丁	Man	Ding
叮	Ding	Ding
釘	nail	Nail
頂	top	top
掟	Bleak	
矴	Bleak	
埞	Bleak	
定	Certainly	set
矴	Bleak	
碇	anchor	Ikari
訂	order	Order
掟波	Tadpole	Ripple
掟煲	Puppet pot	Claypot
掟煲費	掟 掟 掟 掟 掟	Cooker fee
釘錢	Nail money	Nail Money
訂錢	Make money	Order money
掟飛錶	掟 掟 掟 掟	Flying watch
埞方	Puppet	Fang
釘蓋	Lid	Nail Cover
釘棺材蓋	Nail coffin cover	Nail Coffin Cover
掟入雪櫃	掟 掟 掟 掟 掟	Enter the refrigerator
釘耳窿	Nail	Stud Pierced
釘牌	Nail	Nail-card
釘死	crucify	Crucified
釘死佢	Nail	Nailed him.
訂枱	Binding platform	Table Booking
掟彎	Bend	Elbow
釘仔	Nail	Nail-boy
釘咗	Nail	Nailed
堆	heap	Heap
㨃	Bleak	
ⵌ	Bleak	
ⷮ	Bleak	
兌	Exchange	against
對	right	Right.
對	right	Right.
隊	Team	TEAM
懟	hate	
隊	Team	TEAM
ⵌ啤	Beer	Lager
隊波	Team wave	Team Wave
對襯家	Lining	Lined home
ⵌ草	Ravioli	Abiacea
ⵌ粉	Pink	Starch
ⵌ鬼	Ghost	haunted
對撼	Shake	Right
對開	Open	facing
對胸	Pair	Pairs of chest
對胸衫	Chest shirt	Pair of bodice
對胸衫衭	衭 胸 衭 衭 胸	Pair of bodice
隊友	teammate	Teammates
對摳	Tap	Right to pull
對 … 嚟講	Yes ...	For...
ⵌ冧	ⵌ ⵌ ⵌ	Rum
對落	Go to	Opposition
對面海	Opposite sea	Opposing the Sea
對唔住	Do not	Right, live.
對歲	Year -old	To the age
對上	match	Right.
ⵌ酒	Squeak	Liqueur
對正	Positive	Jtification
噸	Ton	Tons
敦	Dong	Tun
燉	stew	Stew
遁	escape	Recluse
嗒	despair	Ta
嗒嗒聲	Hits	Clatter
嗲聲嗲氣	Snoring	Whine sound
胅	Bleak	
掉	Lose	Drop
鈍	blunt	blunt
啲	Puppet	Dump
啲	Puppet	Dump
弟	younger brother	Brother
哋	Do not	We
啲	Puppet	Dump
弟	younger brother	Brother
弟	younger brother	Brother
DEBATE	Debate	Debate
啲咑	Puppet	G.O.D.
啲咑佬	咑	Dump
啲打佬	Jeal	G.O.D.
啲啲	啲啲	G.O.D.
啲啲噠噠	哒 啲	G.O.D. da
啲啲震	Shock	Gussedbit
啲哚	Puppet	Din
啲咁哚	哚 哚	How to do
啲	Puppet	Dump
扚	Bleak	
滴	drop	drops
的	of	of
⯊	Bleak	
滴	drop	drops
迪	Daisy	Di
的斜	Oblique	oblique
的的式式	Formula	The formula of
⯊起心肝	⯊ ⯊ 肝 ⯊ ⯊	Livers
DQ	DQ	DQ
的而且確	Indeed	And indeed
的確涼	Indeed	It's cool.
的確涼斜布	Indeed	Indeed cool twill
啲叻得嘞	嘞 嘞 嘞	Nakhon Ratchasima
滴露	Drip	Dettol
滴水	Dripping	Dripping
的士	Scholar	Taxis
的士夠格	Scholarship	Taxi Enough
的士哥	Brothers	Taxi brother
的士高	disco	diskgo
的式	Formula	The formula
的士落客站	Shi Luke Station	Taxi Drop-off Station
的士佬	Scholar	Taxis
的士咪錶	Shimi watch	Taxi Meter
的士牌	Scholar	Taxi licensing
的士司機	Taxi driver	Taxi Driver
的士站	Taxi Station	Taxi stand
的士姐	Sisters	Taxi sister
DELETE	Delete	DELETE
點	point	POINT
點	point	POINT
店	shop	Shop
掂	Weigh	weigh
ට	Bleak	
點啊?	click it?	Point?
點錯相	Pointless	Point Wrong Phase
點得	Order	Point too
點解	Solution	Point solution
點極都唔明	The points are all unknown	Poles are not clear
ට過碌蔗	ට ට ට ට ට	Sugarcane
點紅點綠	Red dot green	Dot Red Dot Green
點樣	Spotting	Dot sample
點樣都得	Everyone	Everything has to be
ට路	Road	Kino Road
點心	dessert	Dim sum
點心茶樓	Snack tea house	Dim Sum Tea House
點心車	Snack	Dim Sum Cart
點心咭	Snack	Snack Card
點心妹	Snack girl	Dim Sum
點心師傅	Snack	Dim Sum Master
點相	Point	Point Phase
點算	count	Count
點算好呢?	How about it?	How about counting?
點睇	Order	Point to watch
點會	Dot	Dots will
點知	Know	Point to know
點止	Point out	Point Stop
點鐘	Point	O'clock
癲	Epilepsy	epsy
典	Script	Code
捵	Bleak	
電	electricity	Electric
甸	Dumplings	diandian
墊	pad	PAD
電車	tram	Train
電車佬	Tram	Tramman
電池妹	Battery girl	Battery sister
電單車	Motorcycle	Motorcycle
電單車車冚	Train car 冚	Motorcycle Borders
電單車黨	Tram party	Motorcycle Party
電單車友	Motorcycle friend	Motorcycle Friends
電單車手	Motorist	Motorcyker
電單車司機	Motorcycle driver	Motorcycle driver
電單車鐵騎士	Motorcycle iron knight	Motorcycle Iron Rider
電燈杉	Electric fir	Electric cedar
電燈膽	Light	Light Bulb
電燈佬	Electric lamp	Electric Lamp
癲癲廢廢	Epilepsy	Epilepsy waste
電動扶梯	Escalator	Escalator
電動牙擦	Electric teeth	Electric Toothbrush
電飯煲	Rice cooker	Rice Cooker
電髮	Electric hair	Electric hair
電風扇	Electric fan	Electric Fan
丁	Man	Ding
叮	Ding	Ding
汀	Achieve	Ting
頂	top	top
椗	anchor	
定	Certainly	set
定	Certainly	set
癲雞	Epilepsy	Dizen chicken
癲雞乸	Epilepsy	epileptic
癲狗	Epilepsy dog	Epilepsy dog
頂包	Top bag	Top Pack
定必	Must	Must
叮叮	Ding	Ding Ding
頂檔	Top gear	Top File
定當	Be able to	Set when
叮噹馬頭	Ding Ding Matou	Tinkerbell Horse Head
頂頸	Tip	Top Neck
